2020-01-28 14:34:51
1,"(['Maastricht', 'Sittard', 'Heerlen'], 30)"
2,"(['Den Helder', 'Alkmaar', 'Castricum', 'Zaandam', 'Amsterdam Sloterdijk', 'Amsterdam Centraal', 'Amsterdam Amstel', 'Amsterdam Zuid', 'Schiphol Airport', 'Leiden Centraal', 'Den Haag Laan v NOI', 'Delft', 'Schiedam Centrum', 'Rotterdam Centraal', 'Rotterdam Alexander', 'Rotterdam Blaak', 'Schiedam Centrum'], 169)"
3,"(['Enschede', 'Hengelo', 'Almelo', 'Deventer', 'Apeldoorn', 'Zutphen', 'Dieren', 'Arnhem Centraal', 'Ede-Wageningen', 'Utrecht Centraal', 'Amersfoort', 'Apeldoorn'], 163)"
4,"(['Heerlen', 'Sittard'], 15)"
5,"(['Lelystad Centrum', 'Almere Centrum', 'Amsterdam Centraal', 'Utrecht Centraal', 'Hilversum', 'Almere Centrum', 'Amsterdam Amstel', 'Utrecht Centraal', 'Gouda', 'Rotterdam Alexander'], 176)"
6,"(['Vlissingen', 'Roosendaal', 'Etten-Leur', 'Breda', 'Tilburg', 's-Hertogenbosch', 'Oss', 'Nijmegen', 'Arnhem Centraal'], 148)"
7,"(['Venlo', 'Helmond', 'Eindhoven', 'Weert', 'Roermond', 'Sittard'], 85)"
8,"(['Alkmaar', 'Hoorn', 'Zaandam', 'Beverwijk', 'Castricum'], 88)"
9,"(['Groningen', 'Assen', 'Zwolle', 'Steenwijk', 'Heerenveen', 'Leeuwarden', 'Groningen'], 146)"
10,"(['Amsterdam Zuid', 'Amsterdam Sloterdijk', 'Haarlem', 'Heemstede-Aerdenhout', 'Leiden Centraal', 'Den Haag Centraal', 'Delft', 'Den Haag HS', 'Leiden Centraal', 'Alphen a/d Rijn', 'Gouda', 'Den Haag Centraal'], 142)"
11,"(['Amersfoort', 'Zwolle', 'Deventer', 'Zutphen'], 71)"
12,"(['Rotterdam Centraal', 'Dordrecht', 'Rotterdam Blaak'], 31)"
13,"(['Breda', 'Dordrecht', 'Roosendaal'], 40)"
14,"(['Haarlem', 'Beverwijk'], 16)"
15,"(['Almelo', 'Zwolle'], 42)"
16,"(['Gouda', 'Den Haag HS'], 21)"
17,"(['Schiphol Airport', 'Utrecht Centraal', 's-Hertogenbosch', 'Eindhoven', 'Tilburg'], 99)"
18,"(['Den Haag Laan v NOI', 'Gouda'], 28)"
19,"(['Alphen a/d Rijn', 'Utrecht Centraal'], 28)"
20,"(['Hilversum', 'Amsterdam Amstel'], 28)"
6434.0

2020-01-28 15:16:37
1,"(['Vlissingen', 'Roosendaal', 'Etten-Leur', 'Breda', 'Tilburg', 's-Hertogenbosch', 'Oss', 'Nijmegen', 'Arnhem Centraal', 'Ede-Wageningen'], 158)"
2,"(['Den Helder', 'Alkmaar', 'Castricum', 'Zaandam', 'Amsterdam Sloterdijk', 'Amsterdam Centraal', 'Amsterdam Amstel', 'Amsterdam Zuid', 'Schiphol Airport', 'Leiden Centraal', 'Den Haag Laan v NOI', 'Delft', 'Schiedam Centrum', 'Rotterdam Centraal', 'Rotterdam Alexander', 'Rotterdam Blaak', 'Schiedam Centrum'], 169)"
3,"(['Lelystad Centrum', 'Almere Centrum', 'Amsterdam Centraal', 'Utrecht Centraal', 'Amersfoort', 'Apeldoorn', 'Deventer', 'Zutphen', 'Dieren', 'Arnhem Centraal'], 141)"
4,"(['Venlo', 'Helmond', 'Eindhoven', 'Weert', 'Roermond', 'Sittard', 'Maastricht'], 100)"
5,"(['Maastricht', 'Sittard'], 15)"
6,"(['Heerlen', 'Sittard'], 15)"
7,"(['Enschede', 'Hengelo', 'Almelo', 'Deventer', 'Zwolle', 'Steenwijk', 'Heerenveen', 'Leeuwarden', 'Groningen', 'Assen'], 171)"
8,"(['Ede-Wageningen', 'Utrecht Centraal', 'Hilversum', 'Almere Centrum', 'Amsterdam Amstel', 'Utrecht Centraal', 'Gouda', 'Rotterdam Alexander'], 139)"
9,"(['Den Haag HS', 'Delft', 'Den Haag Centraal', 'Leiden Centraal', 'Den Haag HS', 'Gouda', 'Den Haag Centraal'], 84)"
10,"(['Amsterdam Amstel', 'Hilversum'], 28)"
11,"(['Zwolle', 'Amersfoort'], 35)"
12,"(['Utrecht Centraal', 's-Hertogenbosch', 'Eindhoven', 'Tilburg'], 66)"
13,"(['Amsterdam Zuid', 'Amsterdam Sloterdijk', 'Haarlem', 'Heemstede-Aerdenhout', 'Leiden Centraal', 'Alphen a/d Rijn', 'Gouda', 'Den Haag Laan v NOI'], 107)"
14,"(['Castricum', 'Beverwijk', 'Haarlem'], 29)"
15,"(['Rotterdam Blaak', 'Dordrecht', 'Rotterdam Centraal'], 31)"
16,"(['Alkmaar', 'Hoorn', 'Zaandam', 'Beverwijk'], 75)"
17,"(['Roosendaal', 'Dordrecht', 'Breda'], 40)"
18,"(['Alphen a/d Rijn', 'Utrecht Centraal', 'Schiphol Airport'], 61)"
19,"(['Almelo', 'Zwolle', 'Assen'], 82)"
20,"(['Zutphen', 'Apeldoorn'], 20)"
6434.0

